scene,timestamp,inst_token,ann_token,distance,throttle,ego_speed,brake,future_throttle,future_brake
scene-0001,1531883533049931,39b6c31c9925492a8a9f1b0ef3b877b6,6c7575f9ea0a492da317ab328e52d176,12.194,192,18.42,0,175,0
scene-0001,1531883533049931,6efa17d08f464d72bbf5613e7149a5b0,8c42b659358a409c918f779463d90a4f,50.445,192,18.42,0,175,0
scene-0001,1531883533049931,a1f53dd65da64eb2b0cec51d57b8c047,61c51ee897dd419f84ff3104735e6fd6,22.348,192,18.42,0,175,0
scene-0001,1531883533550364,39b6c31c9925492a8a9f1b0ef3b877b6,2233f4f8b86a46c080d8388c3ad20c3c,9.987,175,19.61,0,140,0
scene-0001,1531883533550364,6efa17d08f464d72bbf5613e7149a5b0,b312f1d6f63c4fd19aaceb25af74b160,47.881,175,19.61,0,140,0
scene-0001,1531883533550364,a1f53dd65da64eb2b0cec51d57b8c047,d1a5d65e54d542b38f2787bf4126c56a,19.854,175,19.61,0,140,0
scene-0001,1531883533950168,6efa17d08f464d72bbf5613e7149a5b0,ee163ec0d63742419af0c2b899b92366,45.676,140,20.42,0,42,0
scene-0001,1531883533950168,a1f53dd65da64eb2b0cec51d57b8c047,9df30a7c07dd44f3b835f4ade2e160d8,17.718,140,20.42,0,42,0
scene-0001,1531883533950168,39b6c31c9925492a8a9f1b0ef3b877b6,51dd8d40b62444079a3987061e47bdf4,8.428,140,20.42,0,42,0
scene-0001,1531883533950168,c8ac146d6cef45bfadbec2f08737c79f,a7411233a6e24756b3e817504da2ff4c,71.641,192,18.42,0,175,0
scene-0001,1531883534449471,6efa17d08f464d72bbf5613e7149a5b0,32baf25a1e7f451cab6d867fc33951ad,42.868,42,21.13,0,0,0
scene-0001,1531883534449471,a1f53dd65da64eb2b0cec51d57b8c047,6c1214ed7c4c4fb2816c7c8b4049092a,15.076,42,21.13,0,0,0
scene-0001,1531883534449471,c8ac146d6cef45bfadbec2f08737c79f,9ca33689b28b486f8a511397084c5e91,68.852,175,19.61,0,140,0
scene-0001,1531883534949354,a1f53dd65da64eb2b0cec51d57b8c047,256ace84600c438ab016defce42f391b,12.41,0,21.0,0,0,0
scene-0001,1531883534949354,c8ac146d6cef45bfadbec2f08737c79f,94bf8f4a2f584b1eb6ccc062c18c557e,65.911,140,20.42,0,42,0
scene-0001,1531883534949354,6efa17d08f464d72bbf5613e7149a5b0,3f4c0a6b9a944ef4a18d4d044429f07d,39.921,0,21.0,0,0,0
scene-0001,1531883535448683,c8ac146d6cef45bfadbec2f08737c79f,a4287da9cf32415e8f22167c5a39ab70,62.961,42,21.13,0,0,0
scene-0001,1531883535448683,6efa17d08f464d72bbf5613e7149a5b0,d283c0e538b04c99b7d1a7fa77ac0760,36.959,0,20.42,0,0,0
scene-0001,1531883535448683,a1f53dd65da64eb2b0cec51d57b8c047,0d2ca600cf7d429180201501bb2efa5b,9.887,0,20.42,0,0,0
scene-0001,1531883535948561,c8ac146d6cef45bfadbec2f08737c79f,aa213fbcef504679ba7871567f1b7cb2,60.042,0,21.0,0,0,0
scene-0001,1531883535948561,05a6f4ee377442c1951b8c0743fcca83,9a50cb0956db4cb1ab3caaf9e7b41669,87.188,192,18.42,0,175,0
scene-0001,1531883535948561,6efa17d08f464d72bbf5613e7149a5b0,9bf45a69d41f49648701bccb016b95e9,34.036,0,19.7,0,0,0
scene-0001,1531883536448428,c8ac146d6cef45bfadbec2f08737c79f,7c7162117cc84b9bb47a3f4f96c86410,57.225,0,20.42,0,0,0
scene-0001,1531883536448428,6efa17d08f464d72bbf5613e7149a5b0,2c2867120177485291ba6165f545de6e,31.211,0,18.87,0,0,0
scene-0001,1531883536448428,05a6f4ee377442c1951b8c0743fcca83,1c2e94860ddb45b7a06a558f4d8ae896,84.409,175,19.61,0,140,0
scene-0001,1531883536948304,05a6f4ee377442c1951b8c0743fcca83,5724607d125141eb95fcb6cdffcaf6ec,81.799,140,20.42,0,42,0
scene-0001,1531883536948304,c8ac146d6cef45bfadbec2f08737c79f,83b93c288b054dec82ec4e69992d6fc4,54.568,0,19.7,0,0,0
scene-0001,1531883536948304,6efa17d08f464d72bbf5613e7149a5b0,0d1d99acb78641049fa01044e6690f1d,28.561,0,17.99,0,0,0
scene-0001,1531883537397861,6efa17d08f464d72bbf5613e7149a5b0,63179b047d1a4246bba712a6796b245a,26.225,0,17.04,0,0,0
scene-0001,1531883537397861,c8ac146d6cef45bfadbec2f08737c79f,c31119f7deb043b2bbfb4bdb0d6f2a69,52.222,0,18.87,0,0,0
scene-0001,1531883537397861,05a6f4ee377442c1951b8c0743fcca83,954be770a25045a6b4241a335f32ef39,79.5,42,21.13,0,0,0
scene-0001,1531883537898302,6efa17d08f464d72bbf5613e7149a5b0,c7624ddd5a0b4bedbaa80a0b6fbf2b8d,23.767,0,16.08,0,1,0
scene-0001,1531883537898302,05a6f4ee377442c1951b8c0743fcca83,2257fcddcb774518a7203b070210eaf8,77.085,0,21.0,0,0,0
scene-0001,1531883537898302,c8ac146d6cef45bfadbec2f08737c79f,9f8636f9379946dea96767c6595ed75a,49.751,0,17.99,0,0,0
scene-0001,1531883538398184,05a6f4ee377442c1951b8c0743fcca83,e318765738c440d7af8fa13fae8ca607,74.886,0,20.42,0,0,0
scene-0001,1531883538398184,c8ac146d6cef45bfadbec2f08737c79f,59e382e6bd704ad78ca0c08f4445d9f5,47.493,0,17.04,0,0,0
scene-0001,1531883538398184,6efa17d08f464d72bbf5613e7149a5b0,d587f908fe52424e8640f7f0f1e82c7e,21.521,1,15.18,0,57,0
scene-0001,1531883538947820,6efa17d08f464d72bbf5613e7149a5b0,d14a94a024db44c9a39a551e9c81d7a4,19.166,57,14.53,0,107,0
scene-0001,1531883538947820,05a6f4ee377442c1951b8c0743fcca83,0b4893018a6f461fa9498391ba46ad9e,72.609,0,19.7,0,0,0
scene-0001,1531883538947820,c8ac146d6cef45bfadbec2f08737c79f,936085cf452b4bc1b81eac48e6e12b13,45.143,0,16.08,0,1,0
scene-0001,1531883539548333,05a6f4ee377442c1951b8c0743fcca83,8e4e919511b0427fbfd7cbca40503f4d,70.292,0,18.87,0,0,0
scene-0001,1531883539548333,c8ac146d6cef45bfadbec2f08737c79f,776fc7d13e5747f384cdb4caa31b2630,42.725,1,15.18,0,57,0
scene-0001,1531883539548333,6efa17d08f464d72bbf5613e7149a5b0,65c895bf540f457a8aa5950dc9f6aab0,16.771,107,14.53,0,120,0
scene-0001,1531883540048753,05a6f4ee377442c1951b8c0743fcca83,053dc2e11c10486d8836662b3fef0bcf,68.385,0,17.99,0,0,0
scene-0001,1531883540048753,6efa17d08f464d72bbf5613e7149a5b0,ccb3fae54cc646e1bbe089e5113523a1,14.796,120,15.12,0,127,0
scene-0001,1531883540048753,c8ac146d6cef45bfadbec2f08737c79f,ad41851b7fd143418c23d030587667d2,40.719,57,14.53,0,107,0
scene-0001,1531883540548630,05a6f4ee377442c1951b8c0743fcca83,059f8b60a3d44021a45db75caf48c70f,66.467,0,17.04,0,0,0
scene-0001,1531883540548630,c8ac146d6cef45bfadbec2f08737c79f,ce69ab4d0b884950a66a71906df353bf,38.687,107,14.53,0,120,0
scene-0001,1531883540548630,6efa17d08f464d72bbf5613e7149a5b0,ec43ac588c6247a68c27144f63872035,12.822,127,15.85,0,164,0
scene-0001,1531883541048503,05a6f4ee377442c1951b8c0743fcca83,efdf82fb44584a23b1670e440b2a483a,64.429,0,16.08,0,1,0
